Parent,Child,Origin_time
43660,43662,3
71963,71965,3
91216,91215,3
33188,2736,3
33188,19448,3
33188,22581,3
5405,5406,4
45417,45415,4
71963,71961,4
33188,5337,4
91216,33812,4
95115,34522,4
71963,89792,4
71963,71962,5
95321,23494,5
33188,43482,5
5405,5407,6
33188,33187,6
87278,87279,6
95321,95323,6
5405,21941,6
5405,61628,6
5406,15577,6
2736,2734,7
71965,21693,7
2736,2735,8
71965,71964,8
95321,95322,8
33188,59330,8
91216,27469,8
2736,29292,8
5405,49792,8
5405,68846,8
95321,69005,8
45415,72706,8
2736,87563,8
5337,5338,9
72897,92999,9
2736,93161,9
21941,80720,9
71961,47181,9
21941,70492,9
5337,74318,9
15577,15578,10
45415,45416,10
89792,89791,10
21941,62812,10
71965,70919,10
33187,24977,10
23494,37357,10
27469,27471,11
27469,27472,11
43482,43480,11
99243,99242,11
5337,78454,11
21941,8979,11
21693,21692,12
21693,11614,12
21693,12451,12
27469,32293,12
71962,62980,12
71962,76370,12
71962,87245,12
43482,46707,12
71962,64507,12
21693,74024,12
71962,75812,12
71962,76342,12
71962,81301,12
71962,71960,13
92999,92994,13
92999,92997,13
92999,26082,13
71962,34774,13
71962,45468,13
74318,61312,13
71962,68322,13
71964,94303,13
71964,9373,13
74318,35526,13
43482,37079,13
71964,71961,14
5337,3517,14
43662,61388,14
72706,8086,14
71962,17308,14
74318,80539,14
71962,4905,14
71962,5702,14
71962,15232,14
71964,30224,14
71962,54355,14
92999,65886,14
71962,76089,14
87279,84515,14
72706,89280,14
2734,95280,14
74318,98012,14
21693,21691,15
27471,27470,15
59330,59327,15
71962,71963,15
72706,72707,15
92999,92998,15
5337,37269,15
71962,13204,15
70919,15560,15
27469,58672,15
89791,61095,15
27469,66310,15
71964,68308,15
62812,80618,15
74318,81364,15
21693,31247,15
72706,61854,15
71962,75741,15
21693,92078,15
87279,99157,15
76370,76369,16
74318,37362,16
71964,38622,16
71962,41899,16
27471,42803,16
89791,79704,16
74024,86686,16
27472,99396,16
27472,18143,16
95322,24847,16
71962,52662,16
24977,62238,16
78454,91958,16
4905,4906,17
8086,8085,17
72706,72708,17
78454,78453,17
71964,18844,17
4905,45546,17
8979,50581,17
37079,52085,17
8086,55974,17
64507,59431,17
43480,65310,17
4905,69931,17
8086,93428,17
62980,97082,17
8086,61226,17
78454,67085,17
74318,76260,17
92078,92077,18
92078,92080,18
92999,9223,18
95323,68912,18
15560,28864,18
74318,41315,18
71962,42223,18
27469,68713,18
64507,5872,18
15560,8142,18
4905,8312,18
45468,10820,18
9373,11353,18
78454,70319,18
78454,75489,18
5338,96798,18
33812,33813,19
47181,47182,19
58672,58671,19
89791,89792,19
92999,23208,19
92078,49215,19
21692,51084,19
66310,17951,19
72706,18718,19
58672,28546,19
4905,47357,19
27471,56595,19
62812,58486,19
4905,80676,19
62980,87787,19
4905,88889,19
62980,94486,19
15560,2627,19
12451,7772,19
71962,9195,19
81364,28867,19
58672,43647,19
78454,49266,19
50581,50580,20
65886,1692,20
4906,44525,20
74024,19024,20
4905,29411,20
87563,46136,20
28864,47180,20
74318,47927,20
42803,58770,20
50581,58995,20
4905,75622,20
37079,84045,20
45468,88675,20
62980,98782,20
4906,3206,20
84515,4623,20
54355,29689,20
37079,38078,20
95323,38616,20
58672,50100,20
86686,71186,20
71962,82345,20
71961,86715,20
71962,97790,20
71962,98293,20
67085,99146,20
59431,59430,21
62980,62981,21
74024,74023,21
79704,79702,21
92078,92079,21
78454,58094,21
92078,80274,21
92078,99000,21
71962,4897,21
68713,6443,21
45468,10548,21
42803,20831,21
97082,36118,21
41315,57150,21
12451,71293,21
45468,82156,21
