Parent,Child,Origin_time
687648,146661,24
40336,343235,24
101980,357721,24
344619,431244,24
393620,503973,24
168581,586876,24
837239,671908,24
367432,693648,24
166971,697374,24
687648,734115,24
276241,755738,24
393620,772573,24
599933,834194,24
821647,835806,24
276241,861647,24
669106,960959,24
952269,985076,24
280939,997527,24
164119,164122,25
205082,205080,25
273263,273264,25
278750,278748,25
290867,290872,25
338313,338312,25
388966,388965,25
451915,451913,25
457410,457412,25
760062,760060,25
837253,837254,25
759326,36467,25
174420,275726,25
759326,664717,25
174420,672293,25
116729,730713,25
588498,734561,25
174420,916134,25
615046,18142,25
350137,35932,25
687648,40390,25
107681,50959,25
615045,86734,25
687648,86767,25
120425,158032,25
837239,199473,25
712395,205688,25
615046,213787,25
100553,289923,25
367316,364538,25
998530,365539,25
290867,384186,25
907441,386894,25
276241,392902,25
290867,426948,25
760062,534212,25
533195,555823,25
614100,597467,25
614100,609469,25
107681,619340,25
290867,653893,25
793562,654078,25
60199,654677,25
349049,657682,25
966633,663045,25
215121,750179,25
338313,766399,25
107681,802762,25
760062,848492,25
341851,849360,25
821647,891769,25
164119,902637,25
687648,926870,25
338313,931557,25
584478,47537,25
433295,65492,25
687648,90577,25
640131,129735,25
970612,201302,25
367432,212519,25
107681,331754,25
759326,358883,25
687648,437424,25
276241,528311,25
614100,591619,25
205082,665480,25
451915,684210,25
525573,769131,25
837445,869155,25
168581,955887,25
174420,984998,25
69323,69321,26
174420,174421,26
215121,215122,26
258298,258297,26
268502,268505,26
290867,290868,26
302391,302390,26
339206,339208,26
344619,344617,26
351073,351075,26
522323,522324,26
623998,623997,26
666651,666653,26
669104,669107,26
797078,797079,26
812497,812500,26
837076,837077,26
883770,883771,26
999342,169138,26
107684,193453,26
783991,323213,26
116729,331923,26
40336,14966,26
120425,114843,26
998530,128430,26
367316,204139,26
349049,384441,26
907441,445920,26
731803,454059,26
276241,454972,26
992157,460202,26
101980,461267,26
623998,470949,26
793562,527471,26
351073,556259,26
615045,630288,26
992157,682564,26
338313,798572,26
712395,807468,26
525573,811230,26
215121,873835,26
992157,973577,26
349049,61506,26
837445,130296,26
687647,161682,26
344859,492034,26
999342,580295,26
837076,605706,26
350137,617917,26
166972,634360,26
992157,655123,26
687648,713767,26
258298,765362,26
451915,765695,26
999342,784702,26
128365,792401,26
601065,891838,26
903431,978366,26
393620,998946,26
44132,44131,27
107681,107682,27
116729,116728,27
129572,129571,27
164119,164121,27
199579,199581,27
205082,205079,27
362510,362507,27
362510,362509,27
588498,588494,27
623998,623996,27
661829,661827,27
701733,701732,27
886040,886041,27
907441,907440,27
952266,952267,27
952269,952268,27
338267,667475,27
116729,681741,27
367432,763405,27
687648,1269,27
750877,33509,27
666651,134106,27
992157,136298,27
350137,142579,27
837241,205418,27
830633,214672,27
414454,255974,27
37418,260423,27
673538,267249,27
886040,271286,27
490561,294615,27
362510,310941,27
168581,317147,27
669104,323142,27
830633,326702,27
666651,339546,27
341851,368112,27
687647,392983,27
351073,404167,27
992157,432396,27
107681,452443,27
687648,469454,27
731803,509791,27
273263,529795,27
992157,539027,27
367316,542413,27
313369,614145,27
349049,616171,27
812497,618714,27
367316,648696,27
760062,650651,27
992157,720090,27
100553,737408,27
849426,784648,27
217559,920033,27
992157,927518,27
393620,962711,27
992157,966633,27
723606,8760,27
896585,124668,27
623998,138826,27
886040,170719,27
273263,201916,27
