Parent,Child,Origin_time
3850,3853,3
8418,8417,3
9953,9955,3
9953,3949,3
8418,2480,3
9953,6522,3
9953,2838,4
9953,6082,4
9953,9910,4
3886,3885,5
7781,7780,5
8418,8416,5
9953,9958,5
3886,9229,5
2418,4717,5
9953,5393,5
1933,5684,5
9953,9956,6
8517,476,6
3886,4226,6
5437,6523,6
9953,9954,7
3949,4015,7
3949,4298,7
3886,9696,7
3886,9978,8
8416,2569,8
8416,7219,8
3949,7460,8
8416,8634,8
3949,9751,8
9953,338,8
8517,4771,8
6522,6521,9
9696,2187,9
3886,5401,9
9953,1985,9
3949,5655,9
2480,5978,9
8416,9593,9
8416,1361,9
2480,1481,9
9696,3931,9
6082,5485,9
9953,6429,9
8418,8118,9
6082,6083,10
6522,6520,10
3949,847,10
9953,3468,10
3949,5826,10
2480,8925,10
3949,8197,10
9696,9154,10
476,474,11
2569,2566,11
6082,6081,11
3886,5676,11
9984,3592,11
6082,4118,11
2569,6435,11
3949,7111,11
1481,7838,11
9953,9057,11
3886,542,11
9954,1211,11
3949,1719,11
9910,2505,11
7781,3378,11
3949,3739,11
7780,8390,11
476,475,12
1481,1482,12
2569,2568,12
5978,5979,12
9696,2367,12
3886,7189,12
1481,2358,12
1481,3063,12
1481,4292,12
7780,4352,12
1481,7096,12
9910,7126,12
8416,63,12
3949,1871,12
9696,2247,12
9954,5312,12
7780,8351,12
9910,9330,12
2569,9587,12
1985,1983,13
2418,2417,13
9954,9957,13
6523,127,13
2569,5152,13
1985,5238,13
5978,5873,13
9593,6518,13
1985,6886,13
9751,7550,13
2569,516,13
2569,4074,13
2569,5144,13
7780,6945,13
9751,7746,13
2569,2567,14
9751,9750,14
9978,3010,14
476,3178,14
1871,3934,14
9751,5947,14
8634,6785,14
6523,8333,14
9593,111,14
9751,307,14
476,890,14
9751,4626,14
1871,5548,14
3931,7038,14
2569,8655,14
3931,9183,14
2480,2481,15
2569,2570,15
5979,5977,15
6082,6084,15
6520,6519,15
8118,8121,15
5979,580,15
8634,656,15
7096,781,15
7096,1208,15
3949,4116,15
5979,5216,15
9751,5690,15
6083,6441,15
9751,6532,15
3949,7240,15
1985,7884,15
9593,9259,15
9751,9325,15
5826,9990,15
9978,1432,15
3931,3685,15
5826,5043,15
5978,5697,15
5485,6770,15
9696,6965,15
1871,1872,16
6886,6887,16
7096,7095,16
8390,8391,16
9593,9595,16
9593,9597,16
542,2213,16
542,2412,16
9696,2537,16
542,2811,16
542,9771,16
1871,228,16
2569,3449,16
5978,6778,16
7550,6930,16
9958,7980,16
7096,9436,16
7096,9752,16
7096,2972,16
9751,4786,16
1481,5103,16
9696,6433,16
4352,4351,17
5485,5484,17
8390,8393,17
8390,8394,17
9593,9598,17
7189,1458,17
9696,2735,17
542,6048,17
9751,43,17
1481,79,17
5979,238,17
9751,403,17
4352,1906,17
6083,2248,17
3931,2614,17
7550,2860,17
4352,4309,17
4352,5745,17
7096,6820,17
6083,7358,17
7550,7908,17
5979,8235,17
476,8245,17
9751,9050,17
7780,9781,17
1985,882,17
8416,940,17
6081,2553,17
5826,2587,17
4352,3489,17
542,4983,17
4352,8160,17
2568,8427,17
9750,8691,17
542,541,18
1871,1873,18
3178,3181,18
9183,5640,18
542,8220,18
9696,8839,18
6518,5337,18
5826,5541,18
9750,5962,18
9325,6660,18
7550,6831,18
6785,7221,18
6785,7656,18
1985,8294,18
6886,8854,18
2480,8991,18
4352,9203,18
9593,9824,18
4292,1294,18
3931,2935,18
6083,4517,18
5393,6658,18
6081,7515,18
9183,8747,18
542,8856,18
8390,8880,18
9593,9022,18
8416,9148,18
5979,9475,18
9325,9522,18
4352,4353,19
3853,1129,19
9696,5155,19
9593,253,19
3739,2202,19
475,3012,19
6785,3790,19
6523,4834,19
4352,9509,19
8416,523,19
2570,637,19
3931,789,19
1871,5533,19
2567,6934,19
5697,7581,19
1481,7747,19
2569,8051,19
5485,8504,19
6083,8543,19
2567,9141,19
516,515,20
2248,2243,20
2248,2246,20
2367,2366,20
4352,4354,20
5312,5315,20
5977,5978,20
8121,8119,20
8294,8293,20
6048,24,20
6048,4600,20
8294,1147,20
5977,1600,20
238,2883,20
1208,2941,20
9325,3250,20
9990,3255,20
8294,5156,20
228,5809,20
8294,6314,20
8333,6750,20
3178,7124,20
4626,7155,20
8393,9464,20
4352,9901,20
9957,101,20
3685,114,20
7096,157,20
2570,2236,20
3489,3081,20
8390,3902,20
8294,4985,20
9595,5157,20
4116,7982,20
238,8984,20
2367,9218,20
238,236,21
940,939,21
1294,1297,21
1294,1298,21
1432,1433,21
1983,1984,21
2213,2214,21
2213,2215,21
4116,4114,21
5312,5314,21
5977,5980,21
6441,6439,21
7095,7096,21
7095,7097,21
7358,7359,21
8294,8295,21
8294,8296,21
8427,8425,21
8991,8992,21
8121,1379,21
9183,2719,21
2213,4504,21
6083,341,21
7095,538,21
8294,2302,21
5826,2372,21
2567,3462,21
9259,3725,21
7358,3958,21
1871,4565,21
940,5465,21
6770,5564,21
9593,6424,21
9325,6933,21
1361,7883,21
6785,8819,21
3931,9189,21
8294,9242,21
8991,9376,21
5697,9639,21
8691,739,21
1208,1252,21
9259,1565,21
8121,2939,21
9990,3451,21
5238,3968,21
5977,5021,21
2213,6028,21
9595,6573,21
5697,7244,21
2480,7872,21
8416,7975,21
7358,8115,21
1208,1212,22
3449,3447,22
3931,3933,22
6048,6046,22
6770,6769,22
8121,8117,22
8427,8428,22
8854,8855,22
9595,9594,22
9593,9596,22
9781,9783,22
8121,311,22
6081,562,22
6048,3710,22
8294,1985,22
6441,2264,22
4116,3082,22
3489,3316,22
8854,3505,22
475,4093,22
3449,4411,22
5977,4878,22
1294,4896,22
238,5224,22
9259,5263,22
