Parent,Child,origin_time
26,25,2
39,15,4
39,28,4
19,47,4
19,12,4
26,23,5
29,30,5
39,4,5
19,6,5
29,9,5
13,16,6
39,37,6
19,1,6
13,8,6
48,44,6
35,17,7
35,34,8
13,14,11
2,45,11
23,24,12
44,33,13
35,41,13
47,31,17
15,46,17
24,23,18
41,43,18
41,12,18
12,11,22
45,42,22
46,20,22
41,5,22
24,30,26
